correct,partial,incorrect,naughtyStrings
T-shirt,SHO,Buick,"ثم نفس سقطت وبالتحديد،, جزيرتي باستخدام أن دنو. إذ هنا؟ الستار وتنصيب كان. أهّل ايطاليا، بريطانيا-فرنسا قد أخذ. سليمان، إتفاقية بين ما, يذكر الحدود أي بعد, معاملة بولندا، الإطلاق عل إيو."
scarf,sca,Ford,｀ｨ(´∀｀∩
DrESs,sca,Volkswagen,",./;'[]\-="
red,SHO,Mercedes-Benz,-$1.00
Marina,swe,Hummer,田中さんにあげて下さい
red,BLA,Volkswagen,🚾 🆒 🆓 🆕 🆖 🆗 🆙 🏧
BLACK,sca,Nissan,''
blue,Mari,Ford,test⁠test‫
SHOES,DrE,Mazda,<svg><script>0<1>alert('XSS')</script>
SHOES,swe,Audi,-1.00
